id,cycle_enUS,cycle_zhCN,cycle_position,set_enUS,set_zhCN,set_position,settype_enUS,settype_zhCN,set_size,position,title_enUS,title_zhCN,stripped_title,text_enUS,text_zhCN,stripped_text,type_enUS,type_zhCN,subtype_enUS,subtype_zhCN,side_enUS,side_zhCN,faction_enUS,faction_zhCN,is_unique,deck_limit,advancement_requirement,agenda_point,base_link,minimum_deck_size,influence_limit,influence_cost,cost,strength,memory_cost,trash_cost,flavor_enUS,flavor_zhCN,quantity,extra_printing,illustrator,attribution,pronouns,pronunciation_ipa,pronunciation_approx,extra_face,narrative_enUS,designed_by,released_by,release_date
01002,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,2,Déjà Vu,既视感,Deja Vu,Add 1 card (or up to 2 <strong>virus</strong> cards) from your heap to your grip.,将一张卡牌（或最多两张<strong>病毒</strong>卡牌）从你的堆阵加入你的操控器。,Add 1 card (or up to 2 virus cards) from your heap to your grip.,Event,事件,,,Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,2,,,,Anything worth doing is worth doing twice.,值得去做的事情值得再做。,2,0,Tim Durning,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01003,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,3,Demolition Run,拆解式潜袭,Demolition Run,"Run HQ or R&D.
Access → <strong>0[credit]:</strong> Trash the card you are accessing.",,Run HQ or R&D. Access -> 0 credits: Trash the card you are accessing.,Event,事件,"Run,Sabotage","潜袭,破坏",Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,2,,,,You ever set something on fire just to watch it burn?,你可曾把东西点燃而只是为了看它燃烧？,3,0,Anna Ignatieva,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01004,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,4,Stimhack,狂热式入侵,Stimhack,"Place 9[credit] on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented.",,"Place 9 credits on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented.",Event,事件,Run,潜袭,Runner,潜袭者,Anarch,反叛者,,3,,,,,,1,0,,,,,,3,0,Rachel Borovic,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01005,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,5,Cyberfeeder,赛博补给器,Cyberfeeder,"1[recurring-credit]
Use this credit to pay for using <strong>icebreakers</strong> or for installing <strong>virus</strong> programs.",,1 recurring credit Use this credit to pay for using icebreakers or for installing virus programs.,Hardware,硬件,Chip,芯片,Runner,潜袭者,Anarch,反叛者,,3,,,,,,1,2,,,,I feel almost naked without it.,缺了它，我感觉就像浑身赤裸。,3,0,Gong Studios,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01006,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,6,Grimoire,黑魔典籍,Grimoire,"+2[mu]
Whenever you install a <strong>virus</strong> program, place 1 virus counter on that program.
Limit 1 <strong>console</strong> per player.","+2[mu]
每当你安装一个<strong>病毒</strong>程序时，放置1枚病毒指示物到该程序上。
每位玩家限制1个<strong>控制台</strong> 。","+2 mu Whenever you install a virus program, place 1 virus counter on that program. Limit 1 console per player.",Hardware,硬件,Console,控制台,Runner,潜袭者,Anarch,反叛者,♦,3,,,,,,2,3,,,,"""My little book of magic spells."" -The Whizzard",“我的小小魔法咒语书。” —魔术师,1,0,Jonathan Lee,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01007,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,7,Corroder,腐蚀者,Corroder,"Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.","对接 → <strong>1[credit]：</strong>破解1条<strong>屏障</strong>子进程。
<strong>1[credit]：</strong>强度+1。",Interface -> 1 credit: Break 1 barrier subroutine. 1 credit: +1 strength.,Program,程序,"Icebreaker,Fracter","破解器,分解模块",Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,2,2,1,,"""If at first you don't succeed, boost its strength and try again."" -g00ru",“如果第一次没成功，提高强度再试。” —精神0袖,2,0,Mike Nesbitt,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01008,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,8,Datasucker,数据吸食虫,Datasucker,"Whenever you make a successful run on a central server, place 1 virus counter on Datasucker.
<strong>Hosted virus counter:</strong> Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.",,"Whenever you make a successful run on a central server, place 1 virus counter on Datasucker. Hosted virus counter: Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.",Program,程序,Virus,病毒,Runner,潜袭者,Anarch,反叛者,,3,,,,,,1,1,,1,,,,2,0,Chelsea Conlin,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01009,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,9,Djinn,巨灵,Djinn,"Djinn can host up to 3[mu] of non-<strong>icebreaker</strong> programs.
The memory costs of hosted programs do not count against your memory limit.
[click], 1[credit]: Search your stack for a <strong>virus</strong> program, reveal it, and add it to your grip. Shuffle your stack.","巨灵能被附载最多3[mu]的非<strong>破解器</strong>程序。
所附载的程序的内存费用不计算在你的内存上限中。
[click]，1[credit]：在你的存储栈搜寻一个<strong>病毒</strong>程序，将其展示，并加入你的操控器。将你的存储栈重洗。","Djinn can host up to 3 mu of non-icebreaker programs. The memory costs of hosted programs do not count against your memory limit. click, 1 credit: Search your stack for a virus program, reveal it, and add it to your grip. Shuffle your stack.",Program,程序,Daemon,后台,Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,2,,1,,,,2,0,Mark Anthony Taduran,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01010,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,10,Medium,培养基,Medium,"Whenever you make a successful run on R&D, place 1 virus counter on this program.
Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.",,"Whenever you make a successful run on R&D, place 1 virus counter on this program. Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.",Program,程序,Virus,病毒,Runner,潜袭者,Anarch,反叛者,,3,,,,,,3,3,,1,,It looked like random packet loss. It wasn't.,看起来就像是偶发的数据包丢失，其实不然。,2,0,Adam S. Doyle,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01011,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,11,Mimic,变脸者,Mimic,Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.,对接 → <strong>1[credit]：</strong>破解1条<strong>警报</strong>子进程。,Interface -> 1 credit: Break 1 sentry subroutine.,Program,程序,"Icebreaker,Killer","破解器,断路模块",Runner,潜袭者,Anarch,反叛者,,3,,,,,,1,3,3,1,,November 5th: the day when all would see the corrupt machinations of the corporate oligarchy.,11月5日这天，所有人将会看到公司寡头们的肮脏阴谋。,2,0,Ed Mattinian,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01012,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,12,Parasite,寄生虫,Parasite,"Install only on a rezzed piece of ice.
When your turn begins, place 1 virus counter on this program.
Host ice gets -1 strength for each hosted virus counter.
When the strength of host ice is 0 or less, trash it.",,"Install only on a rezzed piece of ice. When your turn begins, place 1 virus counter on this program. Host ice gets -1 strength for each hosted virus counter. When the strength of host ice is 0 or less, trash it.",Program,程序,"Virus,Trojan","病毒,木马",Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,2,,1,,,,3,0,Bruno Balixa,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01013,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,13,Wyrm,飞龙,Wyrm,"Interface → <strong>3[credit]:</strong> Break 1 subroutine on a piece of ice with 0 or less strength.
Interface → <strong>1[credit]:</strong> The ice you are encountering gets -1 strength for the remainder of this encounter.
<strong>1[credit]:</strong> +1 strength.","3[credit]：破解强度等于或小于0的防火墙上的子进程。
1[credit]：防火墙的强度减1。
1[credit]：强度+1。",Interface -> 3 credits: Break 1 subroutine on a piece of ice with 0 or less strength. Interface -> 1 credit: The ice you are encountering gets -1 strength for the remainder of this encounter. 1 credit: +1 strength.,Program,程序,"Icebreaker,AI","破解器,智能模块",Runner,潜袭者,Anarch,反叛者,,3,,,,,,2,1,1,1,,Fire and ichor…,火焰与毒液…,2,0,Sandara Tang,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01014,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,14,Yog.0,犹格.0,Yog.0,Interface → <strong>0[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.,0[credit]：破解<strong>门禁</strong>子进程。,Interface -> 0 credits: Break 1 code gate subroutine.,Program,程序,"Icebreaker,Decoder","破解器,解码模块",Runner,潜袭者,Anarch,反叛者,,3,,,,,,1,5,3,1,,"The Yog.0 database is a crowdsourced compilation of sniffed, spoofed, and logged passkeys. If the key to the gate is in the database, you're in. If it's not, change the gate!",犹格.0数据库是一个含嗅探、欺骗和登入密钥的多来源编译。如果开门的密钥在数据库中，你便可顺利进入。否则，就换一道门吧！,2,0,Kate Niemczyk,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01015,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,15,Ice Carver,凿墙者,Ice Carver,"While you are encountering a piece of ice, it gets −1 strength.",在你遭遇一层防火墙的期间，该防火墙的强度-1。,"While you are encountering a piece of ice, it gets -1 strength.",Resource,资源,Virtual,虚拟,Runner,潜袭者,Anarch,反叛者,♦,3,,,,,,3,3,,,,"In the public consciousness, there's a hard line between corp and runner. In the real world, things are a little more porous. The corps need the best hackers to run their networks, and some of the best hackers are ex-runners who like the idea of a regular paycheck. But sometimes things run the other way, and someone on the inside makes something like this.",在大众意识里，公司与潜袭者之间隔着明显的鸿沟。在真实世界里，情况却有些模糊。公司需要最优秀的黑客来运作他们的网络，其中部分是喜欢固定工资的原潜袭者。但有时情况会发展到另一面，有人从公司内部做出了这样的东西。,1,0,Mark Anthony Taduran,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01016,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,16,Wyldside,狂界酒吧,Wyldside,"When your turn begins, draw 2 cards and lose [click].",当你的回合开始时，补两张卡牌并失去[click]。,"When your turn begins, draw 2 cards and lose click.",Resource,资源,"Location,Seedy","场所,低劣",Runner,潜袭者,Anarch,反叛者,♦,3,,,,,,3,3,,,,"""Best place to go when you want to get your mind out of the gutter and take it inside."" -Ji ""Noise"" Reilly",“当你想让脑袋摆脱一堆破事，然后扎进另一堆破事时，这是最好的去处。” —吉·“噪音”·雷利,2,0,Henning Ludvigsen,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01017,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,17,Gabriel Santiago: Consummate Professional,加布里埃尔·圣地亚哥：精湛专家,Gabriel Santiago: Consummate Professional,"The first time you make a successful run on HQ each turn, gain 2[credit].",,"The first time you make a successful run on HQ each turn, gain 2 credits.",Runner Identity,潜袭者特性,Cyborg,半机械人,Runner,潜袭者,Criminal,逆法者,,1,,,0,45,15,,,,,,"""Of course I steal from the rich. They're the ones with all the money.""",“我当然是偷富人的，他们拿了所有的钱。”,1,0,Ralph Beisner,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01018,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,18,Account Siphon,账户虹吸,Account Siphon,"Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5[credit], then you gain 2[credit] for each credit lost and take 2 tags.",对总部进行一次潜袭。如果成功，你可以迫使公司失去最多5[credit]，代替读取卡牌，然后拿取2枚锁定标记，并且公司每失去1信用点你获得2[credit]。,"Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5 credits, then you gain 2 credits for each credit lost and take 2 tags.",Event,事件,"Run,Sabotage","潜袭,破坏",Runner,潜袭者,Criminal,逆法者,,3,,,,,,4,0,,,,,,2,0,Outland Entertainment LLC,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01019,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,19,Easy Mark,待宰羔羊,Easy Mark,Gain 3[credit].,,Gain 3 credits.,Event,事件,Job,工作,Runner,潜袭者,Criminal,逆法者,,3,,,,,,1,0,,,,"""Hey kid, you fire that up now, bound to be vamped real bad. Some real pathetic individuals around here. But thankfully I got just the ticket…""",“嘿小子，你把他惹火了，很快就会被整得很惨。这周围全是一些可怜虫。不过幸好我搞到了正需要的东西…”,3,0,Matt Zeilinger,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01020,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,20,Forged Activation Orders,伪造激活指令,Forged Activation Orders,"Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.",选择1层未激活的防火墙。公司可以激活该防火墙。如果其未如此做，则其销毁该防火墙。,"Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.",Event,事件,Sabotage,破坏,Runner,潜袭者,Criminal,逆法者,,3,,,,,,2,1,,,,"As the hysteria in the room climbed higher up the corporate chain, an uneasy feeling of joblessness began to sink in on the lower rungs.",随着房间里的抓狂情绪向企业链高层传递，一种令人不安的失业恐惧在底下弥漫开来。,3,0,Ed Mattinian,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01021,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,21,Inside Job,内线操作,Inside Job,"Run any server. The first time you encounter a piece of ice during that run, bypass it.",潜袭任意一台服务器。本次潜袭中你第一次遭遇一层防火墙时，略过该防火墙。,"Run any server. The first time you encounter a piece of ice during that run, bypass it.",Event,事件,Run,潜袭,Runner,潜袭者,Criminal,逆法者,,3,,,,,,3,2,,,,"""Hey, listen, I'm not asking you to do anything dangerous. Just let me into the building. And tell me which room has the weakest security. And please don't say 'the bathroom' again.""",“嘿，听着，我不是要你做什么危险的事情。你只要让我进入大楼。另外告诉我哪个房间的防卫最差。以及请别再说是‘厕所’。”,3,0,Clark Huggins,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01022,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,22,Special Order,特别订单,Special Order,"Search your stack for an <strong>icebreaker</strong>, reveal it, and add it to your grip. Shuffle your stack.",,"Search your stack for an icebreaker, reveal it, and add it to your grip. Shuffle your stack.",Event,事件,,,Runner,潜袭者,Criminal,逆法者,,3,,,,,,2,1,,,,"Feverishly tracking its frustratingly slow progress across the Pacific, the package finally shows up hours later…",令人兴奋的包裹，沮丧而缓慢地越过太平洋，最终在几个小时后抵达…,3,0,Kate Niemczyk,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01023,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,23,Lemuria Codecracker,雷姆利亚破译机,Lemuria Codecracker,"[click], 1[credit]: Expose 1 card. Use this ability only if you have made a successful run on HQ this turn.",[click]，1[credit]：揭示一张卡牌。如果你本回合已对总部进行过成功的潜袭，才能使用本能力。,"click, 1 credit: Expose 1 card. Use this ability only if you have made a successful run on HQ this turn.",Hardware,硬件,,,Runner,潜袭者,Criminal,逆法者,,3,,,,,,1,1,,,,"""A little preparation goes a long way."" -Gabriel Santiago",“稍作准备才能走得长远。” —加布里埃尔·圣地亚哥,2,0,Emerson Tung,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01024,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,24,Desperado,亡命徒,Desperado,"+1[mu]
Gain 1[credit] whenever you make a successful run.
Limit 1 <strong>console</strong> per player.","+1[mu]
每当你进行一次成功的潜袭时，获得1[credit]。
每位玩家限制1个<strong>控制台</strong>。",+1 mu Gain 1 credit whenever you make a successful run. Limit 1 console per player.,Hardware,硬件,Console,控制台,Runner,潜袭者,Criminal,逆法者,♦,3,,,,,,3,3,,,,,,1,0,Outland Entertainment LLC,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01025,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,25,Aurora,极光,Aurora,"Interface → <strong>2[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.",,Interface -> 2 credits: Break 1 barrier subroutine. 2 credits: +3 strength.,Program,程序,"Icebreaker,Fracter","破解器,分解模块",Runner,潜袭者,Criminal,逆法者,,3,,,,,,1,3,1,1,,,,2,0,Adam S. Doyle,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01026,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,26,Femme Fatale,蛇蝎美人,Femme Fatale,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength.
When you install this program, choose 1 installed piece of ice.
Whenever you encounter the chosen ice, you may pay 1[credit] for each subroutine it has. If you do, bypass that ice.","对接 → <strong>1[credit]：</strong>破解1条<strong>警报</strong>子进程。
<strong>2[credit]：</strong>强度+1。
当你安装本程序时，选择1层已安装的防火墙。
每当你遭遇所选择的防火墙时，你可以支付与该防火墙上子进程数量相等的[credit]。如果你如此做，略过该防火墙。","Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +1 strength. When you install this program, choose 1 installed piece of ice. Whenever you encounter the chosen ice, you may pay 1 credit for each subroutine it has. If you do, bypass that ice.",Program,程序,"Icebreaker,Killer","破解器,断路模块",Runner,潜袭者,Criminal,逆法者,,3,,,,,,1,9,2,1,,,,2,0,Kate Niemczyk,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01027,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,27,Ninja,忍者,Ninja,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>3[credit]:</strong> +5 strength.","1[credit]：破解<strong>警报</strong>子进程。
3[credit]：强度+5。",Interface -> 1 credit: Break 1 sentry subroutine. 3 credits: +5 strength.,Program,程序,"Icebreaker,Killer","破解器,断路模块",Runner,潜袭者,Criminal,逆法者,,3,,,,,,2,4,0,1,,"You feel Ninja before you see Ninja, if you see Ninja at all.",你会先感觉到忍者才能看到忍者，如果你还能看到的话。,2,0,Andrew Mar,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01028,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,28,Sneakdoor Beta,测试暗门,Sneakdoor Beta,"[click]<strong>:</strong> Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run.",[click]<strong>：</strong>潜袭档案库。如果本次潜袭将要宣告为成功，在本次潜袭的剩余时间内将被攻击的服务器改为总部。,"click: Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run.",Program,程序,,,Runner,潜袭者,Criminal,逆法者,,3,,,,,,3,4,,2,,"""The code isn't important. It's where the code takes you that is important."" -g00ru",“代码并不重要，代码会把你带去哪里才是重要的。” —精神0袖,2,0,Andrew Mar,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
01029,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,29,Bank Job,银行任职,Bank Job,"When you install this resource, load 8[credit] on it. When it is empty, trash it.
Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.",,"When you install this resource, load 8 credits on it. When it is empty, trash it. Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.",Resource,资源,Job,工作,Runner,潜袭者,Criminal,逆法者,,3,,,,,,2,1,,,,,,2,0,Mauricio Herrera,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
